Designator,Footprint,Quantity,Value,LCSC Part #
D2,PinSocket_2x02_P2.54mm_Vertical,1,APFA3010,
J1,PinHeader_1x13_P2.54mm_Vertical_SMD_Pin1Left,1,Conn_01x13,
"J10, J9",PinSocket_2x22_P2.54mm_Vertical,2,Conn_02x22_Odd_Even_MountingPin,
J11,PinSocket_1x04_P2.54mm_Vertical,1,UltraRight,
"J12, J18",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
"J14, J15, J16, J17",TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,4,Screw_Terminal_01x02,
J2,PinSocket_1x04_P2.54mm_Vertical,1,UltraLeft,
J3,PinSocket_1x08_P2.54mm_Vertical,1,MPU6050,
J4,PinHeader_1x06_P2.54mm_Vertical,1,MotorL,
J5,PinHeader_1x06_P2.54mm_Vertical,1,MotorR,
J6,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,XT60-M,
J8,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,R,
SW1,KCD11-101,1,SW_DIP_x01,
