Designator,Mid X,Mid Y,Rotation,Layer
D2,242.02,-114.52,0.0,top
J1,200.0,-75.0,90.0,top
J10,217.73,-111.87,0.0,top
J11,228.025,-79.81,0.0,top
J12,243.73,-121.5,90.0,top
J14,230.25,-90.9675,0.0,top
J15,244.5,-130.0,180.0,top
J16,160.0,-130.5,180.0,top
J17,165.5325,-118.75,270.0,top
J18,154.995,-122.0,90.0,top
J2,172.025,-79.81,0.0,top
J3,173.5,-100.89,180.0,top
J4,156.0,-138.0,270.0,top
J5,244.23,-137.5,270.0,top
J6,232.0,-121.0,90.0,top
J7,225.9845,-136.2982,180.0,top
J8,231.5,-137.19,180.0,top
J9,182.23,-111.91,0.0,top
R1,240.5,-108.55,270.0,top
SW1,231.64715,-101.5399,270.0,top
